"listing_id","listing_name","source_name","source_status","listing_url_or_note","review_date","reviewer","status","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","monthly_rent_sgd","monthly_total_all_in_sgd","deposit_months","deposit_sgd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality","hard_filter_fail_count","hard_filter_tbd_count","positive_points_awarded","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points","cost_points","location_points","living_arrangement_points","unit_quality_points","trust_points","key_strengths","key_concerns","next_action"
"lyf-funan-one-of-a-kind-plus","One of a Kind Plus (Studio)","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-funan-singapore/one-of-a-kind-plus-studio","2026-05-31","Codex","hard_filter_tbd","67 Hill Street, #04-01, Singapore 179370","City Hall / Funan","apartment_hotel","private room","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown","yes","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows queen bed, well-equipped kitchen, spacious dining area doubling as work desk, high-speed WiFi, Smart TV, and mobile key access","","unknown","walk","City Hall MRT","medium","0","6","","","","","","","","","","","","Queen Bed; desk in room; near City Hall MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-chinatown-nano-queen","Nano Queen","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore","2026-05-31","Codex","hard_filter_tbd","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","Queen Bed","unknown","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","yes","yes","yes","","","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","","Exact property listing page shows this private room type and July 3, 2026 opening; central Chinatown location has strong MRT access","unknown","public transport","Chinatown MRT","0","4","","","","","","","","","","","","Queen Bed; desk in room; AC; near public transport","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-chinatown-nano-queen-plus","Nano Queen Plus","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore","2026-05-31","Codex","hard_filter_tbd","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","Queen Bed","unknown","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","yes","yes","yes","","","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","","Exact property listing page shows this private room type and July 3, 2026 opening; slightly larger than Nano Queen","unknown","public transport","Chinatown MRT","0","4","","","","","","","","","","","","Queen Bed; desk in room; AC; near public transport","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-chinatown-one-of-a-kind","One of A Kind","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore","2026-05-31","Codex","hard_filter_tbd","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","unknown","unknown","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","unknown","yes","yes","","","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","","Exact property listing page shows this larger private room type and July 3, 2026 opening; 19 sqm is materially better than the nano rooms","unknown","public transport","Chinatown MRT","0","5","","","","","","","","","","","","desk in room; AC; near public transport","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-chinatown-one-of-a-kind-plus","One of A Kind Plus","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore","2026-05-31","Codex","hard_filter_tbd","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","unknown","unknown","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","unknown","yes","yes","","","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","","Exact property listing page shows this 41 sqm private room type and July 3, 2026 opening; strongest lyf Chinatown space candidate by size","unknown","public transport","Chinatown MRT","0","5","","","","","","","","","","","","desk in room; AC; near public transport","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"somerset-bencoolen-one-bedroom-deluxe","One-Bedroom Deluxe","Somerset-Bencoolen (Ascotts)","approved","https://www.discoverasr.com/en/somerset-serviced-residence/singapore/somerset-bencoolen-singapore/one-bedroom-deluxe","2026-05-31","Codex","hard_filter_tbd","51 Bencoolen Street, Singapore 189630","Bencoolen / Bras Basah","apartment_hotel","entire apartment","unknown","ensuite bathroom","","","unknown","unknown","unknown","9% GST applies; room-specific public rate was not surfaced in retrieved content","","","yes","yes","unknown","yes","yes","","","unknown","yes","yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room URL exists; property page states fully-equipped kitchen, daily housekeeping except Sundays/public holidays, complimentary WiFi, and 1-minute walk to Bencoolen MRT","","8","walk","Bencoolen MRT","medium","0","4","","","","","","","","","","","","desk in room; 8 min to SMU","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"somerset-bencoolen-one-bedroom-premier","One-Bedroom Premier","Somerset-Bencoolen (Ascotts)","approved","https://www.discoverasr.com/en/somerset-serviced-residence/singapore/somerset-bencoolen-singapore/one-bedroom-premier","2026-05-31","Codex","hard_filter_tbd","51 Bencoolen Street, Singapore 189630","Bencoolen / Bras Basah","apartment_hotel","entire apartment","unknown","ensuite bathroom","","","unknown","unknown","unknown","9% GST applies; room-specific public rate was not surfaced in retrieved content","","","yes","yes","unknown","yes","yes","","","unknown","yes","yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room URL exists; property page states fully-equipped kitchen, daily housekeeping except Sundays/public holidays, complimentary WiFi, and 1-minute walk to Bencoolen MRT","","8","walk","Bencoolen MRT","medium","0","4","","","","","","","","","","","","desk in room; 8 min to SMU","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"citadines-rochor-studio-premier","Studio Premier","Citadines Singapore","approved","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/studio-premier","2026-05-31","Codex","hard_filter_tbd","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","private room","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","good","unknown","yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Exact room page exists under a central Citadines property; room type is part of a long-term serviced apartment product in Rochor","","unknown","walk","Rochor MRT","medium","0","5","","","","","","","","","","","","Queen Bed; desk in room; near Rochor MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"citadines-rochor-studio-executive","Studio Executive","Citadines Singapore","approved","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/studio-executive","2026-05-31","Codex","hard_filter_tbd","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","private room","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page confirms queen bed, ensuite bathroom, work desk and chair, kitchenette, and floor-to-ceiling windows with natural daylight","","unknown","walk","Rochor MRT","medium","0","5","","","","","","","","","","","","Queen Bed; desk in room; near Rochor MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"citadines-rochor-one-bedroom-premier","One-Bedroom Premier","Citadines Singapore","approved","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/one-bedroom-premier","2026-05-31","Codex","hard_filter_tbd","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","entire apartment","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","1","good","unknown","yes","yes","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page confirms queen bed, ensuite bathroom, separate living and dining area, full kitchen, work desk, washer-dryer, and floor-to-ceiling windows","","unknown","walk","Rochor MRT","medium","0","4","","","","","","","","","","","","Queen Bed; desk in room; laundry access; near Rochor MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"cove-niven-915","Master Ensuite Room","Cove","approved","https://cove.sg/listings/915-cove-155-master-ensuite-room-24-niven-road","2026-05-31","Codex","hard_filter_failed","24 Niven Road, Singapore 228371","Dhoby Ghaut / Rochor","coliving_operator","private room","Queen Bed","private bathroom","2550","","1","2550","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-06-01","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","unknown","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, balcony, mini fridge, microwave, and private bathroom","","10","walk","Little India MRT / Rochor MRT","medium","1","1","","","","","","","","","","","","Very central private room with strong room basics and exact listing URL","Utilities inclusion, guest policy details, and August-specific availability reconfirmation remain unverified","Confirm whether this exact room is still available for an August 9 move-in and request the full fee and utilities breakdown"
"cove-ritzfarrer-671","Master Ensuite Room","Cove","approved","https://cove.sg/listings/671-cove-103-master-ensuite-room-ritzfarrer","2026-05-31","Codex","hard_filter_tbd","142 Race Course Road, Singapore 218593","Jalan Besar / Farrer Park","coliving_operator","private room","King Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee; page shows promo or T&C pricing variation","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; king bed, desk, balcony, private bathroom, external window, and rooftop pool access","","18","public transport","Farrer Park MRT","medium","0","3","","","","","","","","","","","","Exact room page with stronger-than-required bed size and central transit access","Live monthly price and exact August move-in date were not exposed cleanly on the retrieved page","Confirm the current monthly rate and August move-in date for this exact room"
"cove-plaza-665","Standard Room","Cove","approved","https://cove.sg/listings/665-cove-94-standard-room-the-plaza","2026-05-31","Codex","hard_filter_tbd","7500A Beach Road, Singapore 199591","Bugis / Beach Road","coliving_operator","private room","Queen Bed","shared bathroom","1900","","1","1900","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-15","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, AC, and central Bugis-area location","","18","public transport","Nicoll Highway MRT","medium","0","1","","","","","","","","","","","","Central private-room option with exact URL and strong basic fit","Shared bathroom details, utilities inclusion, and August-specific availability reconfirmation remain unverified","Confirm whether this exact room can be held for the semester dates and request the full fee breakdown"
"cove-foch-1056","Studio","Cove","approved","https://cove.sg/listings/1056-cove-178-studio-52-foch-road","2026-05-31","Codex","hard_filter_tbd","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","unknown","unknown","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; queen bed, desk, private bathroom, kitchenette, and electric hob in a central shophouse","","18","public transport","Bendemeer MRT","medium","0","3","","","","","","","","","","","","Private studio format with kitchenette and exact listing URL","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact studio"
"cove-foch-1049","Studio","Cove","approved","https://cove.sg/listings/1049-cove-178-studio-52-foch-road","2026-05-31","Codex","hard_filter_tbd","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; 24 sqm studio with queen bed, desk, private bathroom, kitchenette, and external window","","18","public transport","Bendemeer MRT","medium","0","3","","","","","","","","","","","","Larger private studio in a central location with exact listing URL","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact studio"
"cove-foch-1038","Studio","Cove","approved","https://cove.sg/listings/1038-cove-178-studio-52-foch-road","2026-05-31","Codex","hard_filter_tbd","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; large studio with queen bed, desk, private bathroom, microwave, kitchenette, and external window","","18","public transport","Bendemeer MRT","medium","0","3","","","","","","","","","","","","Large private studio with exact listing URL and strong room basics","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact studio"
"cove-foch-1057","Studio","Cove","approved","https://cove.sg/listings/1057-cove-178-studio-52-foch-road","2026-05-31","Codex","hard_filter_tbd","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; queen bed, desk, private bathroom, kitchenette, and external window in a building with lift access","","18","public transport","Bendemeer MRT","medium","0","3","","","","","","","","","","","","Central private studio with exact listing URL and strong room basics","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact studio"
"cove-bayron-2268","Standard Room","Cove","approved","https://cove.sg/listings/2268-cove-353-standard-room-the-bayron","2026-05-31","Codex","hard_filter_tbd","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","unknown","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","","18","public transport","Somerset MRT","medium","0","3","","","","","","","","","","","","Central SMU-tagged room with exact listing URL and strong room basics","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact room"
"cove-bayron-2466","Master Ensuite Room","Cove","approved","https://cove.sg/listings/2466-cove-368-master-ensuite-room-the-bayron","2026-05-31","Codex","hard_filter_tbd","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","unknown","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, private bathroom, and Somerset location","","18","public transport","Somerset MRT","medium","0","3","","","","","","","","","","","","Central SMU-tagged ensuite with exact listing URL","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact room"
"cove-bayron-2719","Standard Room","Cove","approved","https://cove.sg/listings/2719-cove-391-standard-room-the-bayron","2026-05-31","Codex","hard_filter_tbd","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","unknown","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","","18","public transport","Somerset MRT","medium","0","3","","","","","","","","","","","","Central SMU-tagged room with exact listing URL and queen bed","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact room"
"cove-bayron-2649","Standard Room","Cove","approved","https://cove.sg/listings/2649-cove-390-standard-room-the-bayron","2026-05-31","Codex","hard_filter_tbd","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","unknown","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","","18","public transport","Somerset MRT","medium","0","3","","","","","","","","","","","","Central SMU-tagged room with exact listing URL and strong room basics","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact room"
"cove-kinta-1170","Master Ensuite Room","Cove","approved","https://cove.sg/listings/1170-cove-98-master-ensuite-room-31-37-kinta-road","2026-05-31","Codex","hard_filter_tbd","37 Kinta Road, Singapore 219106","Jalan Besar / Farrer Park","coliving_operator","private room","Queen Bed","private bathroom","","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, balcony, private bathroom, and renovated heritage-house setup","","18","public transport","Farrer Park MRT","medium","0","3","","","","","","","","","","","","Private ensuite room with exact listing URL and strong student-oriented signals","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content","Confirm the live monthly price and August move-in date for this exact room"
"cove-uesquare-3114","Master Ensuite Room","Cove","approved","https://cove.sg/listings/3114-cove-473-master-ensuite-room-ue-square-residences","2026-05-31","Codex","hard_filter_failed","205 River Valley Road, Singapore 238274","River Valley / Fort Canning","coliving_operator","private room","Queen Bed","private bathroom","2550","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","unknown","unknown","yes","Exact Cove room page; queen bed, desk, private bathroom with bathtub, corner windows, and strong central location","","18","public transport","Fort Canning MRT","medium","1","2","","","","","","","","","","","","Large central ensuite room with exact listing URL and strong natural-light evidence","Currently shown as booked on the property page; utilities inclusion and August-specific availability remain unverified","Check whether this exact room reopens by August and request the full fee and utilities breakdown"
"cove-uesquare-3118","Master Ensuite Room","Cove","approved","https://cove.sg/listings/3118-cove-474-master-ensuite-room-ue-square-residences","2026-05-31","Codex","hard_filter_failed","207 River Valley Road, Singapore 238275","River Valley / Fort Canning","coliving_operator","private room","Queen Bed","private bathroom","2500","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","unknown","unknown","yes","Exact Cove room page; 22.7 sqm room with queen bed, desk, private bathroom, external window, and central location","","18","public transport","Fort Canning MRT","medium","1","2","","","","","","","","","","","","Large central ensuite room with exact listing URL and strong room basics","Currently shown as booked on the property page; utilities inclusion and August-specific availability remain unverified","Check whether this exact room reopens by August and request the full fee and utilities breakdown"
"cove-samkiang-3155","Standard Room","Cove","approved","https://cove.sg/listings/3155-cove-483-standard-room-sam-kiang-mansions","2026-05-31","Codex","hard_filter_tbd","23 St Thomas Walk, Singapore 238108","Somerset / River Valley","coliving_operator","private room","Queen Bed","shared bathroom","1900","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; larger 13.8 sqm queen room with desk, external window, and shared bathroom with two other rooms","","18","public transport","Somerset MRT","medium","0","2","","","","","","","","","","","","Large private room with exact listing URL and strong daylight evidence","Exact live availability for August is unclear because the page mainly surfaced other room availability blocks","Confirm the live August move-in date and full fee breakdown for this exact room"
"cove-samkiang-3157","Standard Room","Cove","approved","https://cove.sg/listings/3157-cove-483-standard-room-sam-kiang-mansions","2026-05-31","Codex","hard_filter_tbd","23 St Thomas Walk, Singapore 238108","Somerset / River Valley","coliving_operator","private room","Queen Bed","shared bathroom","1800","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-16","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, large floor-to-ceiling window, and shared bathroom with two other rooms","","18","public transport","Somerset MRT","medium","0","1","","","","","","","","","","","","Central private room with exact listing URL, queen bed, desk, and strong natural-light evidence","Utilities inclusion and August-specific availability reconfirmation remain unverified","Confirm whether this exact room is still available for the semester dates and request the full fee breakdown"
"cove-hootkiam-476","Jr. Master Ensuite Room","Cove","approved","https://cove.sg/listings/476-cove-78-jr-master-ensuite-room-hock-mansions","2026-05-31","Codex","hard_filter_tbd","1 Wilkie Terrace, Singapore 228022","Dhoby Ghaut / Wilkie","coliving_operator","private room","Queen Bed","private bathroom","2000","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-06-24","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, private bathroom, external window, and highly central location","","11","walk","Dhoby Ghaut MRT","medium","0","1","","","","","","","","","","","","Highly central ensuite room with exact listing URL and strong profile fit","Utilities inclusion and August-specific availability reconfirmation remain unverified","Confirm whether this exact room is still available for the semester dates and request the full fee breakdown"
"cove-hootkiam-907","Standard Room","Cove","approved","https://cove.sg/listings/907-cove-200-standard-room-hoot-kiam-mansions","2026-05-31","Codex","hard_filter_tbd","25C Hoot Kiam Road, Singapore 249407","River Valley / Somerset","coliving_operator","private room","Queen Bed","shared bathroom","1550","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-15","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom in River Valley","","18","public transport","Somerset MRT","medium","0","1","","","","","","","","","","","","Lower-cost central private room with exact listing URL and good basics","Utilities inclusion and August-specific availability reconfirmation remain unverified","Confirm whether this exact room is still available for the semester dates and request the full fee breakdown"
"cove-regency-3106","Master Ensuite Room","Cove","approved","https://cove.sg/listings/3106-cove-471-master-ensuite-room-regency-lodge","2026-05-31","Codex","hard_filter_failed","17 Shanghai Road, Singapore 248191","River Valley / Great World","coliving_operator","private room","Queen Bed","private bathroom","2250","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee; page also shows a higher crossed-out T&C price","unknown","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","unknown","unknown","yes","Exact Cove room page; 22.2 sqm master ensuite with queen bed, desk, external window, and separate shower plus bathtub","","18","public transport","Great World MRT","medium","1","2","","","","","","","","","","","","Large central ensuite room with exact listing URL and strong room quality","Exact live availability date, utilities inclusion, and August-specific availability remain unverified","Confirm the live August move-in date and full fee breakdown for this exact room"
"cove-regency-3108","Standard Room","Cove","approved","https://cove.sg/listings/3108-cove-471-standard-room-regency-lodge","2026-05-31","Codex","hard_filter_tbd","17 Shanghai Road, Singapore 248191","River Valley / Great World","coliving_operator","private room","Queen Bed","shared bathroom","1550","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom with strong central location","","18","public transport","Great World MRT","medium","0","2","","","","","","","","","","","","Lower-cost central private room with exact listing URL and strong room basics","Exact live availability date, utilities inclusion, and August-specific availability remain unverified","Confirm the live August move-in date and full fee breakdown for this exact room"
"cove-gambier-3161","Standard Room","Cove","approved","https://cove.sg/listings/3161-cove-484-standard-room-gambier-court","2026-05-31","Codex","hard_filter_tbd","66 Kim Yam Road, Singapore 239381","River Valley / Fort Canning","coliving_operator","private room","Queen Bed","shared bathroom","1950","","1","unknown","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1","good","unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom with two other rooms","","18","public transport","Fort Canning MRT","medium","0","2","","","","","","","","","","","","Central private room with exact listing URL and strong room basics","Exact live availability date, utilities inclusion, and August-specific availability remain unverified","Confirm the live August move-in date and full fee breakdown for this exact room"
