"listing_id","session_id","batch_id","created_at","updated_at","current_phase_state","hard_filter_status","rankable_status","needs_manual_followup","confidence_level","hard_filter_fail_count","hard_filter_tbd_count","positive_points_earned","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points_earned","cost_points_earned","location_points_earned","living_arrangement_points_earned","unit_quality_points_earned","trust_points_earned","key_strengths","key_concerns","next_action","decision_notes"
"cove-gambier-3161","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","68","98","69.4","0","68","3","11","15","13","17","9","Central private room with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Exact live availability date, utilities inclusion, and August-specific availability remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live August move-in date and full fee breakdown for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-regalia-3127","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","68","98","69.4","0","68","3","11","15","13","17","9","Central private room with exact listing URL, queen bed, desk, and strong daylight evidence; exact-room photography looks more real than heavily staged marketing","Utilities inclusion and August-specific availability reconfirmation remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm whether this exact room is still available for the semester dates and request the full fee breakdown","Provisional comparison only until unresolved hard filters are closed."
"cove-niven-910","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","73","88","83","0","73","4","7","18","18","17","9","Highly central exact room page with very strong room basics; exact-room photography looks more real than heavily staged marketing","The retrievable page did not expose a clean current monthly rate or August-specific availability for this exact unit; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-hootkiam-3146","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","70","88","79.5","0","70","4","7","15","18","17","9","Large exact ensuite room in a central River Valley location; exact-room photography looks more real than heavily staged marketing","Current monthly rate was not exposed cleanly on the retrievable exact page; utilities inclusion remains unverified; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly rate and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-hootkiam-3147","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","74","98","75.5","0","74","4","11","15","18","17","9","Exact central ensuite room at a lower price than the full master; exact-room photography looks more real than heavily staged marketing","Utilities inclusion and August-specific availability reconfirmation remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-regalia-3126","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","70","88","79.5","0","70","4","7","15","18","17","9","Large central ensuite room with strong natural-light evidence and exact URL; exact-room photography looks more real than heavily staged marketing","Current monthly rate and August-specific availability were not exposed cleanly on the retrievable exact page; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly rate and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-regalia-3130","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","70","88","79.5","0","70","4","7","15","18","17","9","Central exact ensuite room with strong room basics; exact-room photography looks more real than heavily staged marketing","Current monthly rate and August-specific availability were not exposed cleanly on the retrievable exact page; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly rate and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-regalia-3133","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","64","88","72.7","0","64","3","7","15","13","17","9","Lower-cost central private room with exact listing URL and strong daylight evidence; exact-room photography looks more real than heavily staged marketing","Current monthly rate and August-specific availability were not exposed cleanly on the retrievable exact page; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live monthly rate and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"bsh-single-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","unknown","1","4","34","75","45.3","0","34","0","3","9","13","4","5","hostel visuals suggest a simple no-frills student setup","older or generic photos make desk, window, and actual room spaciousness hard to trust; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"tap-veerasamy-single","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","69","96","71.9","0","69","0","11","14","20","15","9","clean hotel-style finish and coherent recent-condition photos","compact hotel-like layout leaves limited spare floor space beyond the bed and desk","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"tap-veerasamy-queen-windowless","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","68","96","70.8","0","68","4","8","14","17","16","9","clean hotel-style finish and tidy ensuite from the visible gallery","windowless layout means little to no daylight and a more enclosed room feel","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"tap-veerasamy-queen-deluxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","71","96","74","0","71","4","8","14","20","16","9","clean hotel-style finish and coherent recent-condition photos","gallery leans polished and property-wide, so exact room spaciousness is still somewhat hard to judge","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"sophia-view-tap-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","77","96","80.2","0","77","4","8","19","20","17","9","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"wilkie-60-tap-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","77","96","80.2","0","77","4","8","19","20","17","9","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"keystone-farrer-standard","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","4","61","82","74.4","0","61","4","12","0","20","15","10","clean serviced-room feel and generally maintained finishes","gallery mixes room and neighborhood shots, so exact-room visual confidence is only moderate","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"keystone-farrer-xl","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","4","61","82","74.4","0","61","4","12","0","20","15","10","clean serviced-room feel with the most plausible spare floor space in the Keystone set","gallery mixes room and neighborhood shots, so exact-room visual confidence is only moderate","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"bencoolen-house-tap-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","78","96","81.2","0","78","4","8","20","20","17","9","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"jalan-besar-140-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","69","87","79.3","0","69","3","8","20","12","17","9","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"the-centren-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","3","56","76","73.7","0","56","4","7","0","20","17","8","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"tank-road-3-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","unknown","medium","1","2","57","76","75","0","57","4","8","0","20","16","9","clean modern visuals with better bathroom finish and stronger overall room feel","gallery looks polished and partly generic, so exact-room photo consistency is not perfect","","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"cove-niven-915","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","yes","medium","1","1","72","84","85.7","0","72","4","7","19","21","13","8","Very central private room with strong room basics and exact listing URL; exact-room photography looks more real than heavily staged marketing","Utilities inclusion, guest policy details, and August-specific availability reconfirmation remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Confirm whether this exact room is still available for an August 9 move-in and request the full fee and utilities breakdown","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"cove-uesquare-3114","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","yes","medium","1","2","69","84","82.1","0","69","4","7","16","21","13","8","Large central ensuite room with exact listing URL and strong natural-light evidence; exact-room photography looks more real than heavily staged marketing","Currently shown as booked on the property page; utilities inclusion and August-specific availability remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Check whether this exact room reopens by August and request the full fee and utilities breakdown","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"cove-uesquare-3118","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","yes","medium","1","2","69","84","82.1","0","69","4","7","16","21","13","8","Large central ensuite room with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Currently shown as booked on the property page; utilities inclusion and August-specific availability remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Check whether this exact room reopens by August and request the full fee and utilities breakdown","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
"cove-regency-3106","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_failed","hard_filter_failed","not_rankable_hard_filter_failed","yes","medium","1","2","69","84","82.1","0","69","4","7","16","21","13","8","Large central ensuite room with exact listing URL and strong room quality; exact-room photography looks more real than heavily staged marketing","Exact live availability date, utilities inclusion, and August-specific availability remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Confirm the live August move-in date and full fee breakdown for this exact room","Reference only unless user explicitly wants over-budget or failed-filter options kept in view."
