"listing_id","session_id","batch_id","created_at","updated_at","last_reviewed_at","phase_state","source_name","source_status","listing_name","exact_listing_url","listing_url_quality","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","displayed_currency","displayed_monthly_rent","normalized_monthly_rent_sgd","normalized_monthly_rent_usd","normalized_total_all_in_sgd","normalized_total_all_in_usd","fx_rate_sgd_to_usd","fx_rate_date","deposit_months","deposit_sgd","deposit_usd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality"
"cove-foch-1056","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Studio","https://cove.sg/listings/1056-cove-178-studio-52-foch-road","exact_or_best_public_room_page","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","unknown",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; queen bed, desk, private bathroom, kitchenette, and electric hob in a central shophouse","Exact-room and property photos look more believable than heavily staged hotel marketing; the studio format appears self-contained and maintained, but still efficient rather than generous on floor area. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Bendemeer MRT","medium"
"cove-foch-1049","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Studio","https://cove.sg/listings/1049-cove-178-studio-52-foch-road","exact_or_best_public_room_page","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; 24 sqm studio with queen bed, desk, private bathroom, kitchenette, and external window","Exact-room and property photos look more believable than heavily staged hotel marketing; the studio format appears self-contained and maintained, but still efficient rather than generous on floor area. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Bendemeer MRT","medium"
"cove-foch-1038","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Studio","https://cove.sg/listings/1038-cove-178-studio-52-foch-road","exact_or_best_public_room_page","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; large studio with queen bed, desk, private bathroom, microwave, kitchenette, and external window","Exact-room and property photos look more believable than heavily staged hotel marketing; the studio format appears self-contained and maintained, but still efficient rather than generous on floor area. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Bendemeer MRT","medium"
"cove-foch-1057","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Studio","https://cove.sg/listings/1057-cove-178-studio-52-foch-road","exact_or_best_public_room_page","52 Foch Road, Singapore 209274","Jalan Besar / Rochor","coliving_operator","private studio","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove studio page; queen bed, desk, private bathroom, kitchenette, and external window in a building with lift access","Exact-room and property photos look more believable than heavily staged hotel marketing; the studio format appears self-contained and maintained, but still efficient rather than generous on floor area. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Bendemeer MRT","medium"
"cove-bayron-2268","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/2268-cove-353-standard-room-the-bayron","exact_or_best_public_room_page","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-bayron-2466","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/2466-cove-368-master-ensuite-room-the-bayron","exact_or_best_public_room_page","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, private bathroom, and Somerset location","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Somerset MRT","medium"
"cove-bayron-2719","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/2719-cove-391-standard-room-the-bayron","exact_or_best_public_room_page","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-bayron-2649","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/2649-cove-390-standard-room-the-bayron","exact_or_best_public_room_page","49 Saint Thomas Walk, Singapore 238140","Somerset / Orchard","coliving_operator","private room","Queen Bed","shared bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, external window, and Somerset location","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-kinta-1170","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/1170-cove-98-master-ensuite-room-31-37-kinta-road","exact_or_best_public_room_page","37 Kinta Road, Singapore 219106","Jalan Besar / Farrer Park","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, balcony, private bathroom, and renovated heritage-house setup","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Farrer Park MRT","medium"
"cove-samkiang-3155","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3155-cove-483-standard-room-sam-kiang-mansions","exact_or_best_public_room_page","23 St Thomas Walk, Singapore 238108","Somerset / River Valley","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1900","1900","1484.38",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; larger 13.8 sqm queen room with desk, external window, and shared bathroom with two other rooms","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-samkiang-3157","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3157-cove-483-standard-room-sam-kiang-mansions","exact_or_best_public_room_page","23 St Thomas Walk, Singapore 238108","Somerset / River Valley","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1800","1800","1406.25",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-16","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, large floor-to-ceiling window, and shared bathroom with two other rooms","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-hootkiam-476","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Jr. Master Ensuite Room","https://cove.sg/listings/476-cove-78-jr-master-ensuite-room-hock-mansions","exact_or_best_public_room_page","1 Wilkie Terrace, Singapore 228022","Dhoby Ghaut / Wilkie","coliving_operator","private room","Queen Bed","private bathroom","SGD","2000","2000","1562.5",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-06-24","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, private bathroom, external window, and highly central location","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","11","walk","Dhoby Ghaut MRT","medium"
"cove-hootkiam-907","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/907-cove-200-standard-room-hoot-kiam-mansions","exact_or_best_public_room_page","25C Hoot Kiam Road, Singapore 249407","River Valley / Somerset","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1550","1550","1210.94",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-15","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom in River Valley","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Somerset MRT","medium"
"cove-regency-3108","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3108-cove-471-standard-room-regency-lodge","exact_or_best_public_room_page","17 Shanghai Road, Singapore 248191","River Valley / Great World","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1550","1550","1210.94",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom with strong central location","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Great World MRT","medium"
"cove-gambier-3161","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3161-cove-484-standard-room-gambier-court","exact_or_best_public_room_page","66 Kim Yam Road, Singapore 239381","River Valley / Fort Canning","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1950","1950","1523.44",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, and shared bathroom with two other rooms","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Fort Canning MRT","medium"
"cove-regalia-3127","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3127-cove-476-standard-room-the-regalia","exact_or_best_public_room_page","2 River Valley Close, Singapore 238428","River Valley / Great World","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1850","1850","1445.31",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-06-22","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, large built-in wardrobe, and strong natural light through a big window","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Great World MRT","medium"
"cove-niven-910","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/910-cove-155-master-ensuite-room-24-niven-road","exact_or_best_public_room_page","24 Niven Road, Singapore 228371","Dhoby Ghaut / Rochor","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page with SMU tag; queen bed, desk, mini fridge, microwave, private bathroom, and external window","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","10","walk","Little India MRT / Rochor MRT","medium"
"cove-hootkiam-3146","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/3146-cove-481-master-ensuite-room-hoot-kiam-mansions","exact_or_best_public_room_page","25A Hoot Kiam Road, Singapore 249407","River Valley / Somerset","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-07-06","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; 15.8 sqm queen ensuite with desk, external window, and extra lounge-chair space","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Somerset MRT / Great World MRT","medium"
"cove-hootkiam-3147","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Junior Master Ensuite Room","https://cove.sg/listings/3147-cove-481-junior-master-ensuite-room-hoot-kiam-mansions","exact_or_best_public_room_page","25A Hoot Kiam Road, Singapore 249407","River Valley / Somerset","coliving_operator","private room","Queen Bed","private bathroom","SGD","1950","1950","1523.44",,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-15","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, private bathroom, external window, and strong storage space","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Somerset MRT / Great World MRT","medium"
"cove-regalia-3126","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/3126-cove-476-master-ensuite-room-the-regalia","exact_or_best_public_room_page","2 River Valley Close, Singapore 238428","River Valley / Great World","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; 18 sqm queen ensuite with desk, bathtub-style shower, large window, and floor-to-ceiling wardrobes","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Great World MRT","medium"
"cove-regalia-3130","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/3130-cove-477-master-ensuite-room-the-regalia","exact_or_best_public_room_page","2 River Valley Close, Singapore 238428","River Valley / Great World","coliving_operator","private room","Queen Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen ensuite with desk, external window, spacious bathroom, and strong wardrobe space","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Great World MRT","medium"
"cove-regalia-3133","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/3133-cove-477-standard-room-the-regalia","exact_or_best_public_room_page","2 River Valley Close, Singapore 238428","River Valley / Great World","coliving_operator","private room","Queen Bed","shared bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; smaller queen room with desk, external window, and strong natural light through a floor-to-ceiling window","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Great World MRT","medium"
"bsh-single-room","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","Balestier Students' Hostel","approved","Single Room","https://bshostel.com/ | https://www.legacy.bshostel.com/ | exact single-room deep link not exposed on the public site","best_public_non_exact","12 Boon Teck Rd, #02-02 Shaw Corner, Singapore 329586","Balestier","student_hostel","private room","likely single bed; exact size unverified","shared bathroom likely","SGD","1500","1500","1171.88",,,"0.78125","2026-06-02",,,,"unknown","Fee and deposit terms likely similar to VIP page but not confirmed on a dedicated Single Room page","","","likely yes; operator inventory appears to follow hostel-wide 3-month minimum but Single Room page not independently verified","yes","yes","no","unknown","yes","","",,"yes","yes","Microwave and boiling water only likely; no dedicated Single Room terms page captured","unknown","unknown","unknown","yes","Visual evidence is sparse and partly legacy, pointing to a basic student-hostel fit-out with likely tight floor space and weaker photo consistency than the newer operator listings.","30","bus","unknown","unknown"
"tap-veerasamy-single","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","Single","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","exact_or_best_public_room_page","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Single Bed","ensuite bathroom","SGD","1870","1870","1460.94","1870","1460.94","0.78125","2026-06-02",,,,"yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","no","yes","yes","","",,"yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","The visible photos show a clean, recently refreshed hotel-style interior with decent maintenance, but the layout reads compact and more like a small hotel room than a roomy study base.","22","MRT / bus","Jalan Besar MRT","medium"
"tap-veerasamy-queen-windowless","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","Queen - Windowless","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","exact_or_best_public_room_page","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Queen Bed","ensuite bathroom","SGD","2420","2420","1890.62","2420","1890.62","0.78125","2026-06-02",,,,"yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","yes","yes","yes","","0",,"yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","The visible photos show a clean, recently refreshed hotel-style interior, but the windowless variant trades daylight for a tidier ensuite finish and likely compact usable floor area.","22","MRT / bus","Jalan Besar MRT","medium"
"tap-veerasamy-queen-deluxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","A Co-Living Hotel @ Veerasamy by The Assembly Place","approved","Queen Deluxe","https://www.theassemblyplace.com/properties/a-co-living-hotel-veerasamy/","exact_or_best_public_room_page","3 Veerasamy Road, Singapore 207309","Farrer Park / Jalan Besar","coliving_hotel","private room","Queen Bed","ensuite bathroom","SGD","2750","2750","2148.44","2750","2148.44","0.78125","2026-06-02",,,,"yes","Deposit and non-refundable hotel or operator fees not disclosed on the room card or property page","","","yes; property page states 1 Month Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","Bar fridge only shown; no full kitchen confirmed","unknown","unknown","unknown","yes","The visible photos show a clean, recently refreshed hotel-style interior with maintained finishes; the room likely feels polished but still compact rather than roomy.","22","MRT / bus","Jalan Besar MRT","medium"
"sophia-view-tap-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","Sophia View by The Assembly Place","approved","TAP Luxe","https://www.theassemblyplace.com/properties/sophia-view/","exact_or_best_public_room_page","108 Sophia Road, Singapore 228173","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","ensuite bathroom","SGD","2450","2450","1914.06","2450","1914.06","0.78125","2026-06-02",,,,"yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","unknown","unknown","unknown","yes","Property photos look polished and recently maintained, with clean bathrooms and a stronger premium feel than the Lite tiers, though the rooms still read as compact rather than expansive.","12","walk","Dhoby Ghaut MRT","medium"
"wilkie-60-tap-luxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","60 Wilkie","approved","TAP Luxe","https://www.theassemblyplace.com/properties/60-wilkie/","exact_or_best_public_room_page","60 Wilkie Road, Singapore 228065","Rochor / Dhoby Ghaut","coliving_operator","private room","Queen Bed","ensuite bathroom","SGD","2200","2200","1718.75","2200","1718.75","0.78125","2026-06-02",,,,"yes","Deposit, admin fee, stamp duty, and move-out or other non-refundable charges are not disclosed on the property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","unknown","unknown","unknown","yes","Property photos look polished and recently maintained, with clean bathrooms and a stronger premium feel than the Lite tiers, though the rooms still read as compact rather than expansive.","12","walk","Dhoby Ghaut MRT","medium"
"keystone-farrer-standard","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_failed","Keystone Farrer Park by Homestead","approved","Standard","https://www.thekeystone.sg/farrerpark","exact_or_best_public_room_page","118 Race Course Road, Singapore 218581","Farrer Park / Little India","serviced_residence","private room","Queen Bed","ensuite bathroom","SGD","2145","2145","1675.78","2145","1675.78","0.78125","2026-06-02",,"2000","1562.5","yes","Terms page states S$2,000 security deposit and S$200 admin fee for Farrer Park and Lavender; GST may apply","","","yes; source positions it for long-term serviced apartment and student accommodation use","yes","yes","yes","yes","yes","","",,"yes","yes","Shared kitchen / pantry access only; no in-room kitchen","unknown","unknown","unknown","yes","The available visuals suggest a clean serviced-room product with decent maintenance, but exact-room photo coverage is imperfect because the gallery mixes room and neighborhood imagery.",,"unknown","Farrer Park MRT","medium"
